hotel_id,hotel_name,n_comment,rank_in_country,url
68,"b""\n\nCarol's Place For Pizza & Subs\n\n""",23,b'\n#38 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d818404-Reviews-Carol_s_Place_For_Pizza_Subs-Troy_New_York.html
69,b'\n\nRed Front Restaurant & Tavern\n\n',61,b'\n#39 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420718-Reviews-Red_Front_Restaurant_Tavern-Troy_New_York.html
70,"b""\n\nCarmen's Cafe\n\n""",25,b'\n#40 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d835113-Reviews-Carmen_s_Cafe-Troy_New_York.html
71,b'\n\nRare Form Brewing Company\n\n',20,b'\n#41 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7179338-Reviews-Rare_Form_Brewing_Company-Troy_New_York.html
72,b'\n\nLittle Pecks\n\n',10,b'\n#42 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d10626572-Reviews-Little_Pecks-Troy_New_York.html
73,b'\n\nNighthawks\n\n',12,b'\n#43 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4813734-Reviews-Nighthawks-Troy_New_York.html
74,b'\n\nThe Dutch Udder\n\n',11,b'\n#44 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d13114756-Reviews-The_Dutch_Udder-Troy_New_York.html
75,b'\n\nRed and Blue\n\n',25,b'\n#45 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3751264-Reviews-Red_and_Blue-Troy_New_York.html
76,b'\n\nShalimar Restaurant\n\n',36,b'\n#46 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420155-Reviews-Shalimar_Restaurant-Troy_New_York.html
77,b'\n\nThunder Mountain Curry\n\n',10,b'\n#47 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4825056-Reviews-Thunder_Mountain_Curry-Troy_New_York.html
78,b'\n\nPark Pub\n\n',18,b'\n#48 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d6892335-Reviews-Park_Pub-Troy_New_York.html
79,b'\n\nNotty Pine Tavern\n\n',27,b'\n#49 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420733-Reviews-Notty_Pine_Tavern-Troy_New_York.html
80,"b""\n\nJimmy's Pizzeria\n\n""",15,b'\n#50 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420170-Reviews-Jimmy_s_Pizzeria-Troy_New_York.html
81,"b""\n\nChom's Cafe\n\n""",6,b'\n#51 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d13499834-Reviews-Chom_s_Cafe-Troy_New_York.html
82,b'\n\nThe Malt Room\n\n',9,b'\n#52 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d8001304-Reviews-The_Malt_Room-Troy_New_York.html
83,b'\n\nFourty One Sports Bar & Grill\n\n',8,b'\n#53 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d5032515-Reviews-Fourty_One_Sports_Bar_Grill-Troy_New_York.html
84,b'\n\nSouth Troy Diner\n\n',9,b'\n#54 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4655495-Reviews-South_Troy_Diner-Troy_New_York.html
85,b'\n\nCountry View Diner\n\n',78,b'\n#55 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d820691-Reviews-Country_View_Diner-Troy_New_York.html
86,"b""\n\nPancho's\n\n""",19,b'\n#56 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4992367-Reviews-Pancho_s-Troy_New_York.html
87,b'\n\nRustic Barn Pub\n\n',15,b'\n#57 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d6578804-Reviews-Rustic_Barn_Pub-Troy_New_York.html
88,b'\n\nCafe Deli-Icious\n\n',5,b'\n#58 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d835945-Reviews-Cafe_Deli_Icious-Troy_New_York.html
89,b'\n\nSushi King\n\n',10,b'\n#59 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420414-Reviews-Sushi_King-Troy_New_York.html
90,b'\n\nTwo Brothers Restaurant\n\n',15,b'\n#60 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d863076-Reviews-Two_Brothers_Restaurant-Troy_New_York.html
91,"b""\n\nTesto's Restaurant & Pizza\n\n""",133,b'\n#1 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420263-Reviews-Testo_s_Restaurant_Pizza-Troy_New_York.html
92,"b""\n\nPeck's Arcade\n\n""",145,b'\n#2 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7376336-Reviews-Peck_s_Arcade-Troy_New_York.html
93,b'\n\nDinosaur Bar-B-Que\n\n',685,b'\n#3 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2093018-Reviews-Dinosaur_Bar_B_Que-Troy_New_York.html
94,b'\n\nILLIUM CAFE\n\n',250,b'\n#4 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d2388510-Reviews-ILLIUM_CAFE-Troy_New_York.html
